Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
IO662	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1219.0 finish (AMPAM) (Responsible: Unassigned)	3/12/2019					1/22/2019	HAND HELD TOOLS	REAMER	
IO663	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1094.0 (AMPAM) (Responsible: Unassigned)	1/31/2019					1/31/2019	HAND HELD TOOLS	REAMER	
IO664	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1094.0 (AMPAM) (Responsible: Unassigned)	1/31/2019					1/31/2019	HAND HELD TOOLS	REAMER	
IO665	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	1/29/2019					1/29/2019	HAND HELD TOOLS	REAMER	
IO666	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	1/29/2019					1/29/2019	HAND HELD TOOLS	REAMER	
IO667	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1232.0 (AMPAM) (Responsible: Unassigned)	1/31/2019					1/31/2019	HAND HELD TOOLS	REAMER	
IO668	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1232.0 (AMPAM) (Responsible: Unassigned)	1/31/2019					1/31/2019	HAND HELD TOOLS	REAMER	
IO669	REAMER 1/4"-1 1/4"		RIGID	223.S		AMPAM	SOCAL (AMPAM)			1232.0 (AMPAM) (Responsible: Unassigned)	1/31/2019					1/31/2019	HAND HELD TOOLS	REAMER	
IO670	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1232.0 (AMPAM) (Responsible: Unassigned)	1/31/2019					1/31/2019	HAND HELD TOOLS	REAMER	
IO671	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1232.0 (AMPAM) (Responsible: Unassigned)	1/31/2019					1/31/2019	HAND HELD TOOLS	REAMER	
IO672	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1232.0 (AMPAM) (Responsible: Unassigned)	1/31/2019					1/31/2019	HAND HELD TOOLS	REAMER	
IO673	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	2/14/2019					2/14/2019	HAND HELD TOOLS	REAMER	
IO674	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	2/14/2019					2/14/2019	HAND HELD TOOLS	REAMER	
IO675	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	2/14/2019					2/14/2019	HAND HELD TOOLS	REAMER	
IO676	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	2/14/2019					2/14/2019	HAND HELD TOOLS	REAMER	
IO677	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					2/22/2019	HAND HELD TOOLS	REAMER	
