Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
KD121	GRINDER		HILTI	450-D	0161552	AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	5/24/2018				Lost	4/2/2018	POWER TOOLS	GRINDER	
KD122	GRINDER		HILTI	AG 450-7D	0183234	AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	6/19/2018					5/29/2018	POWER TOOLS	GRINDER	
KD123	GRINDER		HILTI	AG 450-7D	0183236	AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	7/3/2018					5/29/2018	POWER TOOLS	GRINDER	
KD124	GRINDER		HILTI	AG 450-7D	0183233	AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	7/3/2018					5/29/2018	POWER TOOLS	GRINDER	
KD125	GRINDER		HILTI	AG 450-7D	0183235	AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	7/3/2018					5/29/2018	POWER TOOLS	GRINDER	
KD126	GRINDER		HILTI	AG 450-7D	0183063	AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	7/3/2018					5/29/2018	POWER TOOLS	GRINDER	
KD127	GRINDER		HILTI	AG 450-7D	0183238	AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	7/27/2018					5/29/2018	POWER TOOLS	GRINDER	
KD128	GRINDER		HILTI	AG 450-7D	0183239	AMPAM	SOCAL (AMPAM)			1163.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					5/29/2018	POWER TOOLS	GRINDER	
KD129	GRINDER		HILTI	AG 450-7D	0183278	AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	10/29/2018					5/29/2018	POWER TOOLS	GRINDER	
KD130	GRINDER		HILTI	AG 450-7D	0000206460	AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	1/17/2019					7/12/2018	POWER TOOLS	GRINDER	
KD131	GRINDER		HILTI	AG 450-7D	0000206436	AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	3/12/2019					7/12/2018	POWER TOOLS	GRINDER	
KD133	GRINDER		HILTI	AG 450-7D	0000206455	AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	3/6/2019					7/12/2018	POWER TOOLS	GRINDER	
KD135	GRINDER		HILTI	AG 450-7D	0000206442	AMPAM	SOCAL (AMPAM)									7/12/2018	POWER TOOLS	GRINDER	
KD136	GRINDER		HILTI	AG 450-7D	0000206449	AMPAM	SOCAL (AMPAM)									7/12/2018	POWER TOOLS	GRINDER	
KD137	GRINDER		HILTI	AG 450-7D	0000206440	AMPAM	SOCAL (AMPAM)									7/12/2018	POWER TOOLS	GRINDER	
KD138	GRINDER		HILTI	AG 450-7D	0000206471	AMPAM	SOCAL (AMPAM)									7/12/2018	POWER TOOLS	GRINDER	
KD139	GRINDER		HILTI	AG 450-7D	0000206429	AMPAM	SOCAL (AMPAM)			1238.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					7/12/2018	POWER TOOLS	GRINDER	
KD140	CORDLESS GRINDER		MILWAUKEE	2680-20	B98ED182200886	AMPAM	SOCAL (AMPAM)			ALEJANDRO SERVICE VAN (AMPAM) (Responsible: Unassigned)	9/25/2018					9/19/2018	POWER TOOLS	GRINDER	
KF 111	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1249.0 (AMPAM) (Responsible: Unassigned)	10/1/2018					10/1/2018	MISC	TRI STANDS	
KF016	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1130.0 (AMPAM) (Responsible: Unassigned)	1/22/2019					7/16/2016	MISC	TRI STANDS	
KF017	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	2/18/2019					7/9/2016	MISC	TRI STANDS	
KF023	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	11/7/2017					11/7/2017	MISC	TRI STANDS	
KF025	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	3/2/2018					7/14/2016	MISC	TRI STANDS	
KF030	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1116.0 (AMPAM) (Responsible: Unassigned)	10/3/2017					7/11/2016	MISC	TRI STANDS	
KF031	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	1/4/2019					7/5/2016	MISC	TRI STANDS	
KF035	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	10/16/2018					10/16/2018	MISC	TRI STANDS	
KF036	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	1/4/2018					7/13/2016	MISC	TRI STANDS	
KF037	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	8/14/2018					7/2/2016	MISC	TRI STANDS	
KF038	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1094.0 (AMPAM) (Responsible: Unassigned)	10/5/2017				Lost	7/7/2016	MISC	TRI STANDS	
KF046	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1135.0 (AMPAM) (Responsible: Unassigned)	3/9/2017				Lost	7/6/2016	MISC	TRI STANDS	
KF048	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					9/26/2017	MISC	TRI STANDS	
KF049	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	8/14/2018					11/23/2016	MISC	TRI STANDS	
KF051	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)									7/19/2016	MISC	TRI STANDS	
KF054	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1088.0 (AMPAM) (Responsible: Unassigned)	10/19/2017					6/28/2016	MISC	TRI STANDS	
KF058	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	6/20/2017					9/1/2016	MISC	TRI STANDS	
KF059	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1120.0FINISH (AMPAM) (Responsible: Unassigned)	10/10/2018					7/5/2016	MISC	TRI STANDS	
KF060	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	5/9/2018					5/9/2018	MISC	TRI STANDS	
KF061	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	8/14/2018					6/25/2016	MISC	TRI STANDS	
KF063	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	9/15/2017					6/25/2016	MISC	TRI STANDS	
KF065	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1017.0FINISH (AMPAM) (Responsible: Unassigned)	9/13/2017				Lost	7/9/2016	MISC	TRI STANDS	
KF066	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	1/14/2019					7/9/2016	MISC	TRI STANDS	
KF067	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)									7/15/2016	MISC	TRI STANDS	
KF068	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	11/27/2017				Lost	6/18/2016	MISC	TRI STANDS	
KF070	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	9/8/2017					11/28/2016	MISC	TRI STANDS	
KF071	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)									11/28/2016	MISC	TRI STANDS	
KF072	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)									1/17/2017	MISC	TRI STANDS	
KF073	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	3/22/2018					1/17/2017	MISC	TRI STANDS	
KF074	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1204.0 (AMPAM) (Responsible: Unassigned)	3/2/2018					1/19/2017	MISC	TRI STANDS	
KF075	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	11/13/2018					6/30/2017	MISC	TRI STANDS	
KF076	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1210.0 (AMPAM) (Responsible: Unassigned)	1/24/2019					8/4/2017	MISC	TRI STANDS	
KF077	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)								Broken	8/4/2017	MISC	TRI STANDS	
KF078	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	4/7/2018					4/7/2018	MISC	TRI STANDS	
KF079	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1153.0 (AMPAM) (Responsible: Unassigned)	4/7/2018					4/7/2018	MISC	TRI STANDS	
KF080	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	2/11/2019					4/7/2018	MISC	TRI STANDS	
KF081	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	4/7/2018					4/7/2018	MISC	TRI STANDS	
KF082	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1148.0 (AMPAM) (Responsible: Unassigned)	4/7/2018					4/7/2018	MISC	TRI STANDS	
KF083	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	10/25/2018					4/7/2018	MISC	TRI STANDS	
KF084	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	7/10/2018					4/7/2018	MISC	TRI STANDS	
KF085	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1152.0 (AMPAM) (Responsible: Unassigned)	4/7/2018					4/7/2018	MISC	TRI STANDS	
KF087	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	4/26/2018					4/26/2018	MISC	TRI STANDS	
KF094	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1217.0 (AMPAM) (Responsible: Unassigned)	8/29/2018					8/29/2018	MISC	TRI STANDS	
KF095	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	8/30/2018					8/30/2018	MISC	TRI STANDS	
KF096	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1116.0 (AMPAM) (Responsible: Unassigned)	9/11/2018					9/11/2018	MISC	TRI STANDS	
KF098	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1111.0 (AMPAM) (Responsible: Unassigned)	8/29/2017					8/29/2017	MISC	TRI STANDS	
KF099	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1181.0 (AMPAM) (Responsible: Unassigned)	6/28/2018					8/29/2017	MISC	TRI STANDS	
KF100	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	11/28/2018					9/28/2017	MISC	TRI STANDS	
KF104	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	1/6/2018				Lost	1/6/2018	MISC	TRI STANDS	
KF105	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1155 FINISH (AMPAM) (Responsible: Unassigned)	1/28/2019					1/13/2018	MISC	TRI STANDS	
KF106	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1124.0 FINISH (AMPAM) (Responsible: Unassigned)	3/6/2019					1/13/2018	MISC	TRI STANDS	
KF107	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1130.0 (AMPAM) (Responsible: Unassigned)	1/31/2018					1/31/2018	MISC	TRI STANDS	
KF108	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	9/11/2018					9/11/2018	MISC	TRI STANDS	
KF109	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	9/11/2018					9/11/2018	MISC	TRI STANDS	
KF110	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	2/11/2019					9/13/2018	MISC	TRI STANDS	
KF111	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1192 finish (AMPAM) (Responsible: Unassigned)	11/5/2018					9/13/2018	MISC	TRI STANDS	
KF112	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1249.0 (AMPAM) (Responsible: Unassigned)	10/1/2018					10/1/2018	MISC	TRI STANDS	
KF113	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	10/12/2018					10/3/2018	MISC	TRI STANDS	
KF114	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	10/16/2018					10/16/2018	MISC	TRI STANDS	
KF115	TRI STAND		RIDGID	460-6		AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	3/6/2019					3/6/2019	MISC	TRI STANDS	
KH034	24' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					6/21/2016	LADDER	EXTENSION	
KH055	60' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)								Lost	9/21/2016	LADDER	EXTENSION	
KH060	20' EXTENSION LADDER		LOUISVILLE	FE3220		AMPAM	SOCAL (AMPAM)			1130.0 (AMPAM) (Responsible: Unassigned)	1/30/2018					7/5/2016	LADDER	EXTENSION	
KH063	24' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	2/12/2018					6/27/2016	LADDER	EXTENSION	
KH064	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1043.0 (AMPAM) (Responsible: Unassigned)	7/11/2016					7/11/2016	LADDER	EXTENSION	
KH066	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1150.0 (AMPAM) (Responsible: Unassigned)	1/9/2018					6/20/2016	LADDER	EXTENSION	
KH067	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	5/17/2017				Lost	7/7/2016	LADDER	EXTENSION	
KH068	20' EXTENSION LADDER		LOUISVILLE	FE3220		AMPAM	SOCAL (AMPAM)			1157.0 (AMPAM) (Responsible: Unassigned)	8/2/2018					7/5/2016	LADDER	EXTENSION	
KH076	40' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)									7/5/2016	LADDER	EXTENSION	
KH079	16' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1152.0 (AMPAM) (Responsible: Unassigned)	10/31/2017					7/11/2016	LADDER	EXTENSION	
KH090	28' EXTENSION LADDER		LOUISVILLE	FE-3228		AMPAM	SOCAL (AMPAM)									7/5/2016	LADDER	EXTENSION	
KH091	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	6/5/2018					9/2/2016	LADDER	EXTENSION	
KH092	16' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)									11/23/2016	LADDER	EXTENSION	
KH093	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1002.0 (AMPAM) (Responsible: Unassigned)	12/20/2016				Lost	11/23/2016	LADDER	EXTENSION	
KH094	16' EXTENSION LADDER		LOUISVILLE	FE3216		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	1/11/2019					12/7/2016	LADDER	EXTENSION	
KH095	16' EXTENSION LADDER		LOUISVILLE	FE3216		AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	4/9/2018					12/7/2016	LADDER	EXTENSION	
KH096	16' EXTENSION LADDER		LOUISVILLE	FE3216		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	6/15/2017					12/7/2016	LADDER	EXTENSION	
KH097	24' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)									6/23/2016	LADDER	EXTENSION	
KH098	16' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	8/14/2017					1/13/2017	LADDER	EXTENSION	
KH099	20' EXTENSION LADDER		LOUISVILLE	FE3220		AMPAM	SOCAL (AMPAM)									2/2/2017	LADDER	EXTENSION	
KH100	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	10/25/2018					2/7/2017	LADDER	EXTENSION	
KH101	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	11/7/2018					4/3/2017	LADDER	EXTENSION	
KH102	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/4/2018					4/3/2017	LADDER	EXTENSION	
KH103	24' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1150.0 (AMPAM) (Responsible: Unassigned)	1/9/2019					4/20/2017	LADDER	EXTENSION	
KH104	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)									8/18/2016	LADDER	EXTENSION	
KH105	24' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1146.0 (AMPAM) (Responsible: Unassigned)	5/1/2017				Broken	5/1/2017	LADDER	EXTENSION	
KH106	20' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1085.0 (AMPAM) (Responsible: Unassigned)	4/30/2018					7/19/2016	LADDER	EXTENSION	
KH108	16' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1116.0 (AMPAM) (Responsible: Unassigned)	9/26/2017					9/26/2017	LADDER	EXTENSION	
KH109	16' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	1/9/2019					11/2/2017	LADDER	EXTENSION	
KH110	16' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	1/9/2019					12/14/2017	LADDER	EXTENSION	
KH111	24' EXTENSION LADDER		LOUISVILLE	FE4224		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	1/6/2018					1/6/2018	LADDER	EXTENSION	
KH112	24' EXTENSION LADDER		LOUISVILLE	FE4224		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	1/6/2018					1/6/2018	LADDER	EXTENSION	
KH199	16' EXTENSION LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	9/13/2018					12/14/2017	LADDER	EXTENSION	
KI021	CORE DRILL MACHINE		HILTI	DD-160	2005206	AMPAM	SOCAL (AMPAM)			1057.0 (AMPAM) (Responsible: Unassigned)	8/11/2016				Lost	7/6/2016	POWER TOOLS	CORE DRILL MACHINE	
KI022	CORE DRILL MACHINE		HILTI	DD-160	15692	AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	10/31/2018					7/13/2016	POWER TOOLS	CORE DRILL MACHINE	
KI023	CORE DRILL MACHINE		HILTI	DD-160	12406	AMPAM	SOCAL (AMPAM)			1153.0 (AMPAM) (Responsible: Unassigned)	9/25/2018					7/14/2016	POWER TOOLS	CORE DRILL MACHINE	
KI024	CORE DRILL MACHINE		HILTI	DD-160	16582	AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	1/11/2019					6/22/2016	POWER TOOLS	CORE DRILL MACHINE	
KI025	CORE DRILL MACHINE		HILTI	DD-160	17020	AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	1/16/2019					7/5/2016	POWER TOOLS	CORE DRILL MACHINE	
KI026	CORE DRILL MACHINE		HILTI	DD-160	024891	AMPAM	SOCAL (AMPAM)			1192.0 (AMPAM) (Responsible: Unassigned)	2/5/2018					9/16/2016	POWER TOOLS	CORE DRILL MACHINE	
KI027	CORE DRILL MACHINE		HILTI	DD-160	28689	AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	10/22/2018					8/11/2017	POWER TOOLS	CORE DRILL MACHINE	
KI028	CORE DRILL MACHINE		HILTI	DD-160	29214	AMPAM	SOCAL (AMPAM)			1094.0 (AMPAM) (Responsible: Unassigned)	1/28/2019					10/31/2017	POWER TOOLS	CORE DRILL MACHINE	
KI029	CORE DRILL MACHINE		HILTI	DD-160	27061	AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	9/5/2018					12/14/2017	POWER TOOLS	CORE DRILL MACHINE	
KI030	CORE DRILL MACHINE		HILTI	DD-160	033703	AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	9/18/2018					9/10/2018	POWER TOOLS	CORE DRILL MACHINE	
KI031	CORE DRILL MACHINE		HILTI	DD-160	034525	AMPAM	SOCAL (AMPAM)			1150.0 (AMPAM) (Responsible: Unassigned)	1/14/2019					12/21/2018	POWER TOOLS	CORE DRILL MACHINE	
KI032	CORE DRILL MACHINE		HILTI	DD-160		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					12/19/2018	POWER TOOLS	CORE DRILL MACHINE	
KI035	CORE DRILL MACHINE		HILTI	DD-250	10116	AMPAM	SOCAL (AMPAM)			1181.0 (AMPAM) (Responsible: Unassigned)	2/12/2019					1/4/2018	POWER TOOLS	CORE DRILL MACHINE	
KI250	CORE DRILL MACHINE		HILTI	DD-250	6247	AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	11/14/2018					8/9/2017	POWER TOOLS	CORE DRILL MACHINE	
KK079	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	7/7/2016				Lost	6/23/2016	BITS	SELF FEED BITS	
KK080	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	7/7/2016				Lost	6/23/2016	BITS	SELF FEED BITS	
KK081	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	7/7/2016				Lost	6/23/2016	BITS	SELF FEED BITS	
KK099	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	6/23/2016				Lost	6/23/2016	BITS	SELF FEED BITS	
KK195	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	10/4/2016					10/4/2016	BITS	SELF FEED BITS	
KK197	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	10/4/2016				Lost	10/4/2016	BITS	SELF FEED BITS	
KK283	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1157.0 (AMPAM) (Responsible: Unassigned)	5/12/2017					5/12/2017	BITS	SELF FEED BITS	
KK300	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	5/25/2017					5/25/2017	BITS	SELF FEED BITS	
KK321	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	7/28/2017					7/28/2017	BITS	SELF FEED BITS	
KK322	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	7/28/2017					7/28/2017	BITS	SELF FEED BITS	
KK346	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1131.0 (AMPAM) (Responsible: Unassigned)	8/26/2017					8/26/2017	BITS	SELF FEED BITS	
KK348	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1131.0 (AMPAM) (Responsible: Unassigned)	8/26/2017					8/26/2017	BITS	SELF FEED BITS	
KK349	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	8/29/2017				Lost	8/29/2017	BITS	SELF FEED BITS	
KK350	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	8/29/2017					8/29/2017	BITS	SELF FEED BITS	
KK351	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	8/29/2017					8/29/2017	BITS	SELF FEED BITS	
KK356	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	9/7/2017					9/7/2017	BITS	SELF FEED BITS	
KK357	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	9/7/2017					9/7/2017	BITS	SELF FEED BITS	
KK358	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	9/7/2017					9/7/2017	BITS	SELF FEED BITS	
KK390	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	10/16/2017					10/16/2017	BITS	SELF FEED BITS	
KK393	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	10/24/2017					10/24/2017	BITS	SELF FEED BITS	
KK395	2 9/16" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	10/24/2017					10/24/2017	BITS	SELF FEED BITS	
